ccp_alpha,class_weight,criterion,max_depth,min_samples_leaf,min_samples_split,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
0.0,,gini,3,2,5,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,,gini,3,2,10,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,,gini,3,2,20,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,,gini,3,4,5,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,,gini,3,4,10,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,,gini,3,4,20,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,,gini,3,8,5,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,,gini,3,8,10,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,,gini,3,8,20,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,,gini,5,2,5,0.7475410182655754,0.7603262598036405,0.7498325590398761,0.8736789076407987,0.8687214611872146
0.0,,gini,5,2,10,0.7466790885944141,0.7597376233887716,0.7490195509097948,0.8724918292806534,0.8687214611872146
0.0,,gini,5,2,20,0.7479499278999575,0.7664840850261517,0.7457471931862176,0.8783514063237229,0.8641552511415526
0.0,,gini,5,4,5,0.7511512511530432,0.7658306577308074,0.7506455671699575,0.8690781062569828,0.8664383561643836
0.0,,gini,5,4,10,0.7536039673991671,0.768309843898309,0.7531455671699574,0.8709741657262212,0.8664383561643836
0.0,,gini,5,4,20,0.7452487947134147,0.7626012377314987,0.7441008517228029,0.8724314478656405,0.8641552511415526
0.0,,gini,5,8,5,0.750119685523889,0.7696080108656422,0.7465398761130468,0.8726434496152375,0.8641552511415526
0.0,,gini,5,8,10,0.750119685523889,0.7696080108656422,0.7465398761130468,0.8726434496152375,0.8641552511415526
0.0,,gini,5,8,20,0.7485615065782244,0.7675990744023956,0.7449138598528842,0.8725166550501868,0.8641552511415526
0.0,,gini,7,2,5,0.7459565882163738,0.7577872297168111,0.7496902826171118,0.8462714113691214,0.9155251141552512
0.0,,gini,7,2,10,0.7521602628133158,0.7647049855984495,0.7555236159504453,0.8593366093829303,0.9075342465753424
0.0,,gini,7,2,20,0.7436146455998256,0.7453420649922424,0.7490398761130469,0.8607450436449893,0.8904109589041096
0.0,,gini,7,4,5,0.7422195167377104,0.764567923334053,0.7466753774680603,0.847536970158712,0.9006849315068494
0.0,,gini,7,4,10,0.7398771662834901,0.760084684159548,0.7467363530778165,0.8536843762638858,0.9006849315068494
0.0,,gini,7,4,20,0.7271203906112025,0.7302940233015631,0.7355100658149438,0.8569268497660044,0.889269406392694
0.0,,gini,7,8,5,0.7303436222302662,0.7343137116123424,0.7346564072783586,0.8700435547116374,0.8926940639269406
0.0,,gini,7,8,10,0.7303436222302662,0.7343137116123424,0.7346564072783586,0.8700435547116374,0.8926940639269406
0.0,,gini,7,8,20,0.7308356999302055,0.7358027331832238,0.7338433991482772,0.8621784775871288,0.8926940639269406
0.0,,gini,10,2,5,0.7336482620307707,0.7598361148369163,0.7331794425087107,0.8488205355523224,0.952054794520548
0.0,,gini,10,2,10,0.7392946918589525,0.7702142684645874,0.7349477351916376,0.8539650817666737,0.9292237442922374
0.0,,gini,10,2,20,0.7298299233821424,0.7337294088259438,0.7321970576848627,0.862195869445291,0.8926940639269406
0.0,,gini,10,4,5,0.7393310370055587,0.7634883690217052,0.7395141308555944,0.85035402250261,0.9223744292237442
0.0,,gini,10,4,10,0.7469169074680513,0.7733086018665357,0.7469125048393341,0.8517216592993012,0.9212328767123288
0.0,,gini,10,4,20,0.7263090624144157,0.7301665205459369,0.7339246999612854,0.8553498240669013,0.8915525114155252
0.0,,gini,10,8,5,0.7319621914658716,0.7360862859759989,0.7363637243515292,0.8635445041042523,0.8972602739726028
0.0,,gini,10,8,10,0.7319621914658716,0.7360862859759989,0.7363637243515292,0.8635445041042523,0.8972602739726028
0.0,,gini,10,8,20,0.7302505517241249,0.7346518206340062,0.7347377080913665,0.8701996476140058,0.8926940639269406
0.0,,entropy,3,2,5,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.0,,entropy,3,2,10,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.0,,entropy,3,2,20,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.0,,entropy,3,4,5,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.0,,entropy,3,4,10,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.0,,entropy,3,4,20,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.0,,entropy,3,8,5,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.0,,entropy,3,8,10,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.0,,entropy,3,8,20,0.7122930102449145,0.7081320383624186,0.733931475029036,0.8528850326988927,0.795662100456621
0.0,,entropy,5,2,5,0.7444733550516137,0.7537188356156819,0.7543379790940767,0.8796820680791069,0.8641552511415526
0.0,,entropy,5,2,10,0.748018331357035,0.7599910011981923,0.7559843205574913,0.8815649297151481,0.863013698630137
0.0,,entropy,5,2,20,0.7416508430139399,0.7481836971787177,0.7519192799070848,0.8800468544033582,0.8573059360730594
0.0,,entropy,5,4,5,0.742721142536733,0.7555135772268866,0.7511265969802555,0.8816133567687569,0.8595890410958904
0.0,,entropy,5,4,10,0.742721142536733,0.7555135772268866,0.7511265969802555,0.8815164927916846,0.8595890410958904
0.0,,entropy,5,4,20,0.7399925148921971,0.7464905062589542,0.7502932636469222,0.8793350663536426,0.8561643835616438
0.0,,entropy,5,8,5,0.7438939367846142,0.7513174462355907,0.7527932636469221,0.8846139647203636,0.8561643835616438
0.0,,entropy,5,8,10,0.7438939367846142,0.7513174462355907,0.7527932636469221,0.8846139647203636,0.8561643835616438
0.0,,entropy,5,8,20,0.7408965956237016,0.7468174802826751,0.7511672473867596,0.8834987449583733,0.8561643835616438
0.0,,entropy,7,2,5,0.7361851846744167,0.740971282966645,0.7437011227255129,0.8550170276217381,0.9178082191780822
0.0,,entropy,7,2,10,0.7279998867083147,0.7316647451497368,0.7357065427797135,0.8589930996122126,0.91324200913242
0.0,,entropy,7,2,20,0.7164242140200537,0.7178667533028618,0.7275358110723965,0.8725699331955102,0.8995433789954338
0.0,,entropy,7,4,5,0.7296619434636591,0.7473685797414688,0.7285259388308168,0.8619729569495593,0.906392694063927
0.0,,entropy,7,4,10,0.7247478741455285,0.7355590799030722,0.7308284939992256,0.8603877406228329,0.906392694063927
0.0,,entropy,7,4,20,0.7123446811580317,0.712704375449422,0.7250967866821526,0.8698466171673574,0.8972602739726028
0.0,,entropy,7,8,5,0.7297735312456173,0.7307180159371935,0.7394802555168409,0.8818432639588695,0.8938356164383562
0.0,,entropy,7,8,10,0.7297735312456173,0.7307180159371935,0.7394802555168409,0.8818432639588695,0.8938356164383562
0.0,,entropy,7,8,20,0.7296193848640837,0.7309020391058644,0.7402322880371661,0.8820071215199908,0.8938356164383562
0.0,,entropy,10,2,5,0.7177281773554492,0.7337342586586508,0.7134591560201317,0.837998667054537,0.9611872146118722
0.0,,entropy,10,2,10,0.7286239291171475,0.7386266979520971,0.729310878823074,0.8593240808279796,0.9497716894977168
0.0,,entropy,10,2,20,0.7099140514748962,0.7095624297337337,0.7218786295005807,0.8696936889162498,0.91324200913242
0.0,,entropy,10,4,5,0.725559381553394,0.7363167710072721,0.7260394889663182,0.8584960258084369,0.934931506849315
0.0,,entropy,10,4,10,0.7176496983681698,0.7203551670311794,0.7258826945412311,0.8546914444903237,0.932648401826484
0.0,,entropy,10,4,20,0.7091468915911043,0.7068111370316738,0.724161827332559,0.8669205390242535,0.906392694063927
0.0,,entropy,10,8,5,0.7294591921379519,0.7300471063292819,0.7418176538908247,0.8769707830506231,0.9029680365296804
0.0,,entropy,10,8,10,0.7294591921379519,0.7300471063292819,0.7418176538908247,0.8769707830506231,0.9029680365296804
0.0,,entropy,10,8,20,0.7264293348033288,0.7257147254684032,0.7392973286875726,0.8808045918308742,0.9006849315068494
0.0,balanced,gini,3,2,5,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,balanced,gini,3,2,10,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,balanced,gini,3,2,20,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,balanced,gini,3,4,5,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,balanced,gini,3,4,10,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,balanced,gini,3,4,20,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,balanced,gini,3,8,5,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,balanced,gini,3,8,10,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.0,balanced,gini,3,8,20,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
