class_weight,criterion,max_depth,min_samples_leaf,min_samples_split,n_estimators,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
balanced,entropy,10.0,1,2,200,0.7933575600561197,0.8302841312985132,0.7825988104036885,0.9303474170597912,0.993127147766323
,entropy,10.0,1,5,300,0.7925749192623018,0.8333776348065769,0.7784370710590224,0.9312815142666817,0.9845360824742269
balanced,entropy,,2,10,200,0.7919412579819612,0.8274677237601644,0.783749604054482,0.9300435874642389,0.9415807560137457
balanced,entropy,20.0,2,10,200,0.7919412579819612,0.8274677237601644,0.783749604054482,0.9300435874642389,0.9415807560137457
balanced,entropy,10.0,1,2,300,0.788470659551753,0.8267590983043196,0.7767907295956078,0.9292470908691227,0.9948453608247423
balanced,entropy,10.0,2,10,100,0.7870655315776889,0.8242691370690147,0.7759370710590223,0.9315000523538235,0.9432989690721649
,entropy,10.0,1,5,200,0.7870312709504543,0.827748987716858,0.7759118185337698,0.9316388843815219,0.9862542955326461
,entropy,,2,2,300,0.7869881678542172,0.8267756759101585,0.7748462851511632,0.9314435211347216,0.9742268041237113
,entropy,20.0,2,2,300,0.7869881678542172,0.8267756759101585,0.7748462851511632,0.9314435211347216,0.9742268041237113
balanced,entropy,10.0,1,10,100,0.785992373525416,0.8283927013796133,0.772593883081688,0.9303533682606042,0.9518900343642611
balanced,entropy,10.0,2,2,200,0.7859191034991857,0.8278790031594466,0.7743507373385422,0.9304042657904106,0.9759450171821306
,entropy,,2,10,200,0.7856581258484401,0.8222754209688115,0.7762099215147995,0.9315661640522407,0.9501718213058419
,entropy,20.0,2,10,200,0.7856581258484401,0.8222754209688115,0.7762099215147995,0.9315661640522407,0.9501718213058419
balanced,entropy,,1,10,100,0.7856514296668164,0.8273402531721674,0.7734321437370217,0.9302760945999106,0.9570446735395189
balanced,entropy,20.0,1,10,100,0.7856514296668164,0.8273402531721674,0.7734321437370217,0.9302760945999106,0.9570446735395189
,entropy,10.0,2,5,300,0.7855030755841086,0.8209341853787999,0.7761895963115476,0.9273502168750228,0.9639175257731959
,entropy,10.0,1,5,100,0.785409064257421,0.8262182188023681,0.7744976771196284,0.9312320655088353,0.9810996563573883
balanced,entropy,10.0,1,2,100,0.7853363711963278,0.8308019673614806,0.7720888325766374,0.9285696055660289,0.9948453608247423
,entropy,,1,5,200,0.7844854469004316,0.8299895701828044,0.7723210326259107,0.9316226439612366,0.9896907216494846
,entropy,20.0,1,5,200,0.7844854469004316,0.8299895701828044,0.7723210326259107,0.9316226439612366,0.9896907216494846
,gini,10.0,1,2,200,0.7843991408040434,0.8245753065387366,0.7748259599479111,0.9311200172924206,0.993127147766323
