set,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
165,0.8,1.0,0.1,3,300,1.0,1.0,0.8,0.7987136164563596,0.8146608166728472,0.8018864604230458,0.9330140648631067,0.9140893470790378
157,0.8,1.0,0.1,3,200,1.0,1.0,0.8,0.7973816151243582,0.8133607666227972,0.8010734522929646,0.933309299208147,0.9140893470790378
54,0.8,0.0,0.1,3,100,1.0,1.0,1.0,0.7963110564047134,0.8100394023712003,0.8002604441628831,0.9327016439515882,0.9312714776632303
167,0.8,1.0,0.1,3,300,1.0,2.0,0.8,0.7960981033145307,0.8122049153934165,0.8002604441628833,0.9343990722609433,0.9072164948453608
315,1.0,1.0,0.05,6,100,0.0,2.0,0.8,0.796062064925709,0.8209412240360908,0.7935724844261429,0.9302114367678103,0.9398625429553265
211,1.0,0.0,0.05,3,300,0.0,2.0,0.8,0.796008456251115,0.8197027479633385,0.7937748565797347,0.9283103376316678,0.9604810996563574
23,0.8,0.0,0.05,3,300,1.0,2.0,0.8,0.7955503197242655,0.81477545639131,0.7957405940942526,0.9301177908729382,0.9415807560137457
201,1.0,0.0,0.05,3,200,0.0,1.0,0.8,0.7949452357303691,0.8173653722995828,0.7943661352197937,0.9303449819499553,0.9415807560137457
313,1.0,1.0,0.05,6,100,0.0,1.0,0.8,0.7946884111943262,0.8199324220391253,0.7927391510928097,0.9301612496660047,0.9467353951890034
349,1.0,1.0,0.1,3,200,1.0,1.0,0.8,0.7940081462645538,0.8118121797083566,0.7955178967374089,0.9344098400214733,0.9209621993127147
149,0.8,1.0,0.1,3,100,1.0,1.0,0.8,0.7939739117166548,0.8125099157719463,0.7955178967374089,0.9324059850093676,0.9123711340206185
159,0.8,1.0,0.1,3,200,1.0,2.0,0.8,0.7939739117166548,0.8125099157719463,0.7955178967374089,0.9342844778719032,0.9089347079037801
357,1.0,1.0,0.1,3,300,1.0,1.0,0.8,0.7939569386817007,0.8116757325324357,0.7943864604230457,0.9341960383541734,0.9209621993127147
187,0.8,1.0,0.1,6,300,0.0,2.0,0.8,0.7936502590535914,0.809936216856053,0.7941136099672685,0.9311026429757376,0.9450171821305842
56,0.8,0.0,0.1,3,100,1.0,2.0,1.0,0.7934449268909967,0.8102537940802035,0.7955178967374089,0.9321465528446099,0.9278350515463918
14,0.8,0.0,0.05,3,200,1.0,1.0,1.0,0.7934449268909967,0.8102537940802035,0.7955178967374089,0.9327292190962682,0.9312714776632303
119,0.8,1.0,0.05,3,300,1.0,2.0,0.8,0.7929218850545783,0.8099557625798848,0.7947048886073276,0.933042501480353,0.9089347079037801
339,1.0,1.0,0.1,3,100,0.0,2.0,0.8,0.7925887854895274,0.8129416073786686,0.7955178967374088,0.931420364856851,0.929553264604811
24,0.8,0.0,0.05,3,300,1.0,2.0,1.0,0.7923302775136924,0.8044729855705466,0.7963105796642382,0.9281890775561706,0.9381443298969072
50,0.8,0.0,0.1,3,100,0.0,1.0,1.0,0.7922509296289014,0.8162424313153818,0.7907550241086827,0.9309732194759549,0.9347079037800687
16,0.8,0.0,0.05,3,200,1.0,2.0,1.0,0.7920281604970363,0.8081228500887944,0.7946845634040756,0.9323207724083717,0.9261168384879725
248,1.0,0.0,0.1,3,100,1.0,2.0,1.0,0.7920281604970363,0.8081228500887944,0.7946845634040756,0.9310771674806686,0.929553264604811
305,1.0,1.0,0.05,3,300,0.0,1.0,0.8,0.7919537827389161,0.8117847917190023,0.7935531270897125,0.9323188571406075,0.936426116838488
215,1.0,0.0,0.05,3,300,1.0,2.0,0.8,0.7906782995761873,0.8094314917632899,0.7910833069369655,0.9273079031380016,0.9450171821305842
297,1.0,1.0,0.05,3,200,0.0,1.0,0.8,0.7906702709290887,0.8106289404896216,0.7927401189596311,0.9310438872181829,0.9312714776632303
309,1.0,1.0,0.05,3,300,1.0,1.0,0.8,0.7906004428568505,0.8109613288575057,0.7899623411818533,0.9341164129567678,0.915807560137457
147,0.8,1.0,0.1,3,100,0.0,2.0,0.8,0.7906004428568505,0.8109613288575057,0.7899623411818533,0.9330668089804222,0.9192439862542955
207,1.0,0.0,0.05,3,200,1.0,2.0,0.8,0.7905877815404393,0.8095749285420968,0.7907956745151867,0.931115289823812,0.929553264604811
205,1.0,0.0,0.05,3,200,1.0,1.0,0.8,0.7905877815404393,0.8095749285420968,0.7907956745151867,0.9315912080677334,0.9329896907216495
21,0.8,0.0,0.05,3,300,1.0,1.0,0.8,0.7905850923766236,0.8095448485520066,0.7909380389258438,0.9296485259931785,0.9501718213058419
111,0.8,1.0,0.05,3,200,1.0,2.0,0.8,0.7904774406101338,0.8079347787477553,0.793078872347165,0.9331836120709301,0.9072164948453608
175,0.8,1.0,0.1,6,100,1.0,2.0,0.8,0.7902571150377364,0.8132039639658079,0.7877450462816317,0.9324568647786788,0.9226804123711341
179,0.8,1.0,0.1,6,200,0.0,2.0,0.8,0.7902412910876615,0.8091064397104863,0.788558054411713,0.9309105953018495,0.9484536082474226
109,0.8,1.0,0.05,3,200,1.0,1.0,0.8,0.7901850903900727,0.810395499023383,0.7899623411818533,0.9332768916382085,0.9089347079037801
321,1.0,1.0,0.05,6,200,0.0,1.0,0.8,0.7899620864727893,0.8190584861495911,0.787203920740506,0.9313565681722384,0.9484536082474226
245,1.0,0.0,0.1,3,100,1.0,1.0,0.8,0.7899418505458102,0.8071662568052412,0.7919271108295499,0.9317598175153197,0.9312714776632303
265,1.0,0.0,0.1,6,100,0.0,1.0,0.8,0.7896848684947406,0.8253526497527826,0.7754726709604759,0.9223517504316401,1.0
61,0.8,0.0,0.1,3,200,1.0,1.0,0.8,0.7896243551332287,0.8090025685131591,0.7887410692288742,0.9257837726972136,0.9656357388316151
